mega_cluster,id,fingerprint,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,name_modified
greenpeas,1741,americanpeas,American Peas,,65,66,1892,1918,0.1,25,american peas
greenpeas,385078,americanpeas,American peas,,29,30,1894,1918,0.1,0.25,american peas
greenpeas,30241,aubeurrefrenchpeas,French Peas au beurre,,14,14,1887,1920,0,0,french peas au beurre
greenpeas,438159,aubeurrefrenchpeas,French Peas au Beurre,,2,2,1912,1914,0,0,french peas au beurre
greenpeas,449769,aubeurrefrenchpeas,French peas au beurre,,1,1,1888,1888,0,0,french peas au beurre
greenpeas,182690,aubeurrenewpeas,New Peas Au Beurre,,21,22,1920,1982,0.25,0,new peas au beurre
greenpeas,375121,aubeurrenewpeas,New peas au beurre,,5,5,1920,1920,0.3,0,new peas au beurre
greenpeas,424182,aubeurrenewpeas,New Peas au Beurre,,1,1,1915,1915,0,0,new peas au beurre
greenpeas,470138,aubeurrenewpeas,NEW PEAS AU BEURRE,,1,1,0,0,0,0,new peas au beurre
greenpeas,133588,butteredgreenpeas,Buttered Green Peas,,14,16,1938,1977,0.15,0,buttered green peas
greenpeas,483212,butteredgreenpeas,BUTTERED GREEN PEAS,,1,1,0,0,0,0,buttered green peas
greenpeas,266354,butterinnewpeas,New Peas in Butter,,49,54,1915,1952,0.15,0,new peas in butter
greenpeas,427148,butterinnewpeas,New Peas in Butter,,1,1,1944,1944,0.4,0,new peas in butter
greenpeas,5051,earlyjunepeas,Early June Peas,,39,40,1896,1949,0.1,0,early june peas
greenpeas,385129,earlyjunepeas,Early June peas,,3,3,1914,1918,0.1,0,early june peas
greenpeas,457836,earlyjunepeas,early june peas,,1,1,0,0,0,0,early june peas
greenpeas,3851,frenchgreenpeas,french Green Peas,,20,20,1891,1910,0.05,0,french green peas
greenpeas,381452,frenchgreenpeas,French Green Peas,,10,10,1912,1954,0.15,0,french green peas
greenpeas,322785,frenchnewpeasstyle,New Peas French Style,,9,9,1937,1939,0,0,new peas french style
greenpeas,1585,frenchpeas,French peas,,857,874,1882,1981,0,0,french peas
greenpeas,373292,frenchpeas,French Peas,,374,384,1890,2928,0.1,0,french peas
greenpeas,381109,frenchpeas,FRENCH PEAS,,26,31,1896,1918,0.6,0,french peas
greenpeas,393726,frenchpeas,french peas,,11,11,1912,1918,0.2,0,french peas
greenpeas,373394,frenchpeas,French peas,,1,1,1920,1920,0.6,0,french peas
greenpeas,420413,frenchpeas,French Peas,,1,1,1918,1918,0.25,0,french peas
greenpeas,185609,freshgardenpeas,Fresh Garden Peas,,23,23,1931,1961,0.2,0,fresh garden peas
greenpeas,464784,freshgardenpeas,FRESH GARDEN PEAS,,1,1,1948,1948,0,0,fresh garden peas
greenpeas,23217,freshgreenpeas,Fresh Green peas,,36,37,1894,1962,0,0,fresh green peas
greenpeas,387868,freshgreenpeas,Fresh Green Peas,,8,8,1914,1957,0.1,0,fresh green peas
greenpeas,502621,freshgreenpeas,Fresh green peas,,2,2,0,0,0,0,fresh green peas
greenpeas,447361,freshgreenpeas,fresh green peas,,1,1,1914,1914,0,0,fresh green peas
greenpeas,447361,freshgreenpeas,fresh green peas,,1,1,fresh green peas,,0,0,fresh green peas
greenpeas,73138,freshpeas,FRESH PEAS,,33,33,1895,1965,0,0,fresh peas
greenpeas,418490,freshpeas,Fresh peas,,5,5,1913,1917,0.25,0,fresh peas
greenpeas,385516,freshpeas,Fresh Peas,,3,3,1899,1918,0.6,0,fresh peas
greenpeas,67463,gardennewpeas,New Garden Peas,,19,19,1905,1957,0.2,0,new garden peas
greenpeas,424255,gardennewpeas,New garden peas,,1,1,1915,1915,0.2,0,new garden peas
greenpeas,4199,greennewpeas,New green peas,,316,324,1882,1960,0,0,new green peas
greenpeas,373635,greennewpeas,New Green Peas,,60,61,1882,1959,0,0,new green peas
greenpeas,374687,greennewpeas,new green peas,,8,8,1900,1919,0.1,0,new green peas
greenpeas,374318,greennewpeas,NEW GREEN PEAS,,6,6,1899,1918,0,0,new green peas
greenpeas,443573,greennewpeas,New Green Peas,,1,1,1917,1917,0.75,0,new green peas
greenpeas,498976,greennewpeas,New Green peas,,1,1,1913,1913,0.1,0,new green peas
greenpeas,504273,greennewpeas,new Green Peas,,1,1,0,0,0,0,new green peas
greenpeas,443573,greennewpeas,New Green Peas,,1,1,new green peas,,0,0,new green peas
greenpeas,498976,greennewpeas,New Green peas,,1,1,new green peas,,0,0,new green peas
greenpeas,504273,greennewpeas,new Green Peas,,1,1,new green peas,,0,0,new green peas
greenpeas,384411,greenpeas,Green peas,,1,1,green peas,,0,0,green peas
greenpeas,452834,greenpeas,Green Peas,,1,0,green peas,,0,0,green peas
greenpeas,408,greenpeas,GREEN PEAS,,1343,1380,1858,1985,0,0,green peas
greenpeas,373456,greenpeas,Green Peas,,400,499,1854,1981,0.05,0,green peas
greenpeas,374039,greenpeas,Green peas,,209,215,1885,1920,0,0,green peas
greenpeas,393727,greenpeas,green peas,,23,23,1912,1918,0.1,0,green peas
greenpeas,378034,greenpeas,green peas,,2,2,1919,1919,0,0,green peas
greenpeas,451121,greenpeas,Green Peas,,2,2,1914,1914,0.4,0,green peas
greenpeas,384411,greenpeas,Green peas,,1,1,1918,1918,0,0,green peas
greenpeas,452834,greenpeas,Green Peas,,1,0,0,0,0,0,green peas
greenpeas,13627,junepeas,June Peas,,38,38,1899,1953,0.05,0,june peas
greenpeas,405260,junepeas,June peas,,2,2,1915,1917,0.1,0,june peas
greenpeas,466460,junepeas,JUNE PEAS,,2,2,1907,1921,0,0,june peas
greenpeas,86419,newparisiennepeas,"New Peas, Parisienne",,12,12,1897,1933,0.25,0,"new peas, parisienne"
greenpeas,495849,newparisiennepeas,"NEW PEAS, PARISIENNE",,1,1,1913,1913,0,0,"new peas, parisienne"
greenpeas,1559,newpeas,New peas,,408,438,1891,1979,0,0,new peas
greenpeas,378530,newpeas,New Peas,,83,85,1893,1979,0.15,0,new peas
greenpeas,384335,newpeas,NEW PEAS,,23,29,1907,1921,0,0,new peas
