cluster_i,n_intersect.apollinaris,n_intersect.applepie,n_intersect.beanstrings,n_intersect.boiledpotatoes,n_intersect.celery,n_intersect.cheese,n_intersect.chickensalad,n_intersect.chocolate,n_intersect.cocoa,n_intersect.coffee,n_intersect.creamicevanilla,n_intersect.fruit,n_intersect.greenpeas,n_intersect.lettucesalad,n_intersect.lobstersalad,n_intersect.mashedpotatoes,n_intersect.milk,n_intersect.olives,n_intersect.oranges,n_intersect.radishes,n_intersect.roquefort,n_intersect.sardines,n_intersect.tea
apollinaris,1606,363,582,281,977,109,494,102,242,1053,452,513,749,469,462,213,284,1124,408,542,766,400,424
applepie,363,2220,1199,643,1338,304,1097,315,576,1789,1029,971,1303,858,960,967,975,1399,628,745,1086,588,992
beanstrings,582,1199,2777,739,1859,338,1268,347,597,2184,1266,1225,1899,1161,1140,930,873,1953,871,1120,1589,902,1104
boiledpotatoes,281,643,739,1657,966,280,575,237,346,1334,657,613,776,649,503,1109,474,1008,442,514,723,396,492
celery,977,1338,1859,966,5321,722,1478,405,747,3548,1392,1617,2399,1402,1258,1331,1080,4350,1047,2026,2102,1055,1283
cheese,109,304,338,280,722,1461,249,151,192,1196,186,358,477,252,214,468,285,847,120,497,116,165,256
chickensalad,494,1097,1268,575,1478,249,2330,435,712,1829,1117,1123,1445,1179,1609,768,1013,1459,659,727,1229,806,1103
chocolate,102,315,347,237,405,151,435,1082,604,977,253,347,392,358,347,335,457,470,330,388,368,316,503
cocoa,242,576,597,346,747,192,712,604,1719,1532,490,587,700,482,571,415,1002,779,736,554,558,532,939
coffee,1053,1789,2184,1334,3548,1196,1829,977,1532,7771,1770,2079,2712,1685,1486,1986,2552,3962,1518,2170,2333,1303,2428
creamicevanilla,452,1029,1266,657,1392,186,1117,253,490,1770,2186,1057,1311,998,1021,803,806,1427,769,745,1199,632,979
fruit,513,971,1225,613,1617,358,1123,347,587,2079,1057,3139,1339,954,911,829,1041,1803,545,902,1180,601,1140
greenpeas,749,1303,1899,776,2399,477,1445,392,700,2712,1311,1339,3639,1249,1250,1066,1085,2505,951,1319,1795,952,1259
lettucesalad,469,858,1161,649,1402,252,1179,358,482,1685,998,954,1249,2116,1045,819,655,1410,619,839,1229,681,846
lobstersalad,462,960,1140,503,1258,214,1609,347,571,1486,1021,911,1250,1045,1885,672,747,1236,574,676,1106,645,888
mashedpotatoes,213,967,930,1109,1331,468,768,335,415,1986,803,829,1066,819,672,2476,693,1612,464,790,1030,485,709
milk,284,975,873,474,1080,285,1013,457,1002,2552,806,1041,1085,655,747,693,2870,1200,754,619,787,688,1483
olives,1124,1399,1953,1008,4350,847,1459,470,779,3962,1427,1803,2505,1410,1236,1612,1200,6343,1118,2445,2236,1222,1404
oranges,408,628,871,442,1047,120,659,330,736,1518,769,545,951,619,574,464,754,1118,1899,763,873,644,816
radishes,542,745,1120,514,2026,497,727,388,554,2170,745,902,1319,839,676,790,619,2445,763,2982,1242,809,729
roquefort,766,1086,1589,723,2102,116,1229,368,558,2333,1199,1180,1795,1229,1106,1030,787,2236,873,1242,3061,937,1092
sardines,400,588,902,396,1055,165,806,316,532,1303,632,601,952,681,645,485,688,1222,644,809,937,1656,693
tea,424,992,1104,492,1283,256,1103,503,939,2428,979,1140,1259,846,888,709,1483,1404,816,729,1092,693,2747
