Year,Menu Count,Dish Count
1851,3,253
1852,2,283
1853,1,34
1854,3,202
1855,1,72
1856,4,367
1857,1,137
1858,3,436
1859,2,255
1860,0,0
1861,1,32
1862,2,199
1863,0,0
1864,2,133
1865,7,1681
1866,6,550
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,1,174
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,20,995
1881,29,1786
1882,21,1008
1883,12,695
1884,17,950
1885,19,650
1886,19,403
1887,25,1221
1888,0,0
1888,44,1228
1889,50,2123
1890,50,1345
1891,82,2731
1892,96,6074
1893,61,2457
1894,70,2349
1895,103,3102
1896,114,4888
1897,153,4819
1898,173,5921
1899,424,16901
1900,2996,183642
1901,2044,103630
1902,0,0
1903,0,0
1904,1,49
1905,305,18571
1906,496,26442
1907,451,21718
1908,70,1886
1909,3,98
1910,267,17079
1912,238,16762
1913,510,44617
1914,724,97402
1915,254,17976
1916,166,7757
1917,575,85065
1918,385,56173
1919,124,8460
1920,100,5694
1921,105,5632
1922,1,80
1923,0,0
1924,13,519
1925,27,651
1926,28,735
1927,35,1240
1928,45,1731
1929,35,1280
1930,4,369
1931,23,599
1932,50,2602
1933,364,65211
1934,35,1898
1935,67,2992
1936,1,16
1937,125,7256
1938,131,9534
1939,178,11275
1940,91,9237
1941,83,9304
1942,7,653
1943,84,9593
1944,54,6628
1945,57,5045
1946,75,6275
1947,43,4057
1948,66,6713
1949,79,7615
1950,28,3825
1951,17,1229
1952,18,1782
1953,72,6614
1954,56,4727
1955,120,12986
1956,4,887
1957,103,9676
1958,85,8566
1959,115,13253
1960,13,1123
1961,72,7315
1962,67,6885
1963,77,7666
1964,45,3156
1965,93,6189
1966,46,1833
1967,66,2795
1968,29,1953
1969,87,8355
1970,40,2526
1971,16,907
1972,19,2143
1973,55,3344
1974,19,624
1975,19,1105
1976,18,699
1977,14,792
1978,15,524
1979,7,522
1980,25,1462
1981,16,1097
1982,3,238
1983,3,205
1984,10,917
1985,42,3050
1986,15,690
1987,88,5977
1988,11,564
1989,21,1317
1990,16,337
1991,1,94
1992,1,44
1993,3,304
1994,5,55
1995,15,271
1996,3,30
1997,6,292
1998,9,747
1999,4,281
2000,3,503
2001,15,393
2002,1,54
2003,2,22
2004,1,24
2005,1,41
2006,3,120
2007,0,0
2008,2,33
