fp_i,n.1orange,n.2boiledpotatoes,n.2cocoaportionspot,n.2oranges,n.4frenchsardines,n.agradehalfmilkpint,n.agrademilk,n.agrademilkpint,n.ahuilelsardines,n.allblendbreakfastcoffeeofordersourownpotspecialwith,n.allchickenmeatsaladwhite,n.allkindsperpottea,n.ambassadorcoffeecreamwith,n.americancheese,n.americancheeseyoung,n.americancoffee,n.americancoffeeitalianor,n.americancreamicevanilla,n.americanpeas,n.andassortedcheesecrackers,n.andassortedcheesecrackersonsaltinesservedtraywith,n.andcheesecrackers,n.andcheesecrackerstoasted,n.andcoffeecream,n.andcoffeecreamfleischmannsspecial,n.andcoffeemilk,n.andcoffeetea,n.andcreamtea,n.andgreenolivesripe,n.andolivesqueenripe,n.apollinaris,n.apollinarismineralwater,n.apollinarispints,n.apollinariswater,n.appledeepdishpie,n.appledutchpie,n.applefreshpie,n.applegreenpie,n.applehomemadepie,n.applehotpie,n.applenewpie,n.applepie,n.applepies,n.applepiesliced,n.assortedcheese,n.assortedcheeses,n.assortedfreshfruit,n.assortedfreshfruitstewed,n.assortedfruit,n.assortedfruitinseason,n.assortedfruitofplate,n.assortedfruits,n.assortedfruitsstewed,n.assortedfruitstewed,n.assortisfruits,n.aubeansbeurrestring,n.aubeansgratinstring,n.aubeurrefrenchpeas,n.aubeurrenewpeas,n.auceleryjus,n.beansbeurrestring,n.beansbutteredstring,n.beansbutterinstring,n.beansfrenchstring,n.beansfreshstring,n.beansnewstring,n.beansstring,n.beefcupoftea,n.beeftea,n.bermudaboiledpotatoes,n.blackcoffee,n.blackcupgreenmixedorpertea,n.blackolives,n.blacktea,n.blendchildsperpottea,n.boiledhotpotatoes,n.boilednewpotatoes,n.boiledplainpotatoes,n.boiledpotatoes,n.bonelesssardines,n.bordelaisebraisedcelery,n.bottleindividualmilk,n.bottleindmilk,n.bottlemilk,n.bottlemilkof,n.bottlemilkpasteurizedper,n.bottlemilkper,n.bowlmilkper,n.boxfrenchpersardines,n.boxpersardines,n.boxsardines,n.boxsardinessmall,n.braisecelery,n.braisedcelery,n.branchceleryin,n.brancheceleryen,n.branchescelery,n.breakfastcreamenglishteawith,n.breakfastcupenglishpertea,n.breakfastenglishofpottea,n.breakfastenglishperpottea,n.breakfastenglishpottea,n.breakfastenglishtea,n.butteredgreenpeas,n.butterinnewpeas,n.californiacocktailfruit,n.californiafruit,n.californiaolives,n.californiaolivesripe,n.californiaorange,n.californiaoranges,n.californiaorangesliced,n.camomiletea,n.camomilletea,n.caravanflowerofrussiatea,n.celery,n.celerycrisphearts,n.celerydressed,n.celeryfresh,n.celeryheartof,n.celeryhearts,n.celeryheartsof,n.celeryicedpascal,n.celeryknob,n.celeryknobsalad,n.celeryplain,n.celerysalad,n.celerystewed,n.celerytable,n.certifiedhalfmilkpint,n.certifiedmilkpasteurized,n.ceyloncreamteawith,n.ceylonpottea,n.ceylontea,n.cheese,n.cheeseimportedroquefort,n.cheeseroquefort,n.cheeses,n.chickendarkmeatsalad,n.chickendarkmeatsaladwith,n.chickendressingmayonnaisesalad,n.chickenmayonnaisemeatonlysaladwhite,n.chickenmayonnaisesalad,n.chickenmayonnaisesaladwith,n.chickenmeatonlysaladwhite,n.chickenmeatsaladwhite,n.chickensalad,n.chickensaladsmall,n.chinatea,n.chocolate,n.chocolatecocoacuporper,n.chocolatecocoaor,n.chocolatecocoaorpot,n.cocktailfreshfruit,n.cocktailfruit,n.cocoa,n.cocoacup,n.cocoacupof,n.cocoacupper,n.cocoaforonepot,n.cocoaofpot,n.cocoaperpot,n.cocoapot,n.coffee,n.coffeecreamcupinperpotservedwith,n.coffeecreamcupofwith,n.coffeecreamcupperwith,n.coffeecreamdemifrenchtassewith,n.coffeecreamfiltrewith,n.coffeecreamicedwith,n.coffeecreamofpotwith,n.coffeecreampotwith,n.coffeecreampurewith,n.coffeecreamwith,n.coffeecuban,n.coffeecup,n.coffeecupcustard,n.coffeecupfrench,n.coffeecupfrenchsmall,n.coffeecupof,n.coffeecuporderperspecialto,n.coffeecupper,n.coffeedecaffeinated,n.coffeedecaffeinatedpot,n.coffeedemifrenchtasse,n.coffeedemitasse,n.coffeeforofonepot,n.coffeeforofpottwo,n.coffeeforonepot,n.coffeefrench,n.coffeeglassiced,n.coffeeglassicedper,n.coffeehag,n.coffeehot,n.coffeehoticedor,n.coffeeice,n.coffeeiced,n.coffeeicedortea,n.coffeelargepot,n.coffeemilkortea,n.coffeeofpot,n.coffeeortea,n.coffeeperpot,n.coffeepot,n.coffeepotsanka,n.coffeepotsingle,n.coffeepotsmall,n.coffeesanka,n.coffeespecial,n.coffeeturkish,n.coldsardines,n.colossalolivesripe,n.creamfrenchglassiceinvanilla,n.creamfrenchicevanilla,n.creamicedteawith,n.creamicevanilla,n.creamoolongteawith,n.creamteawith,n.cupfreshfruit,n.cupgreenpertea,n.cupoftea,n.darjeelingtea,n.defromageroquefort,n.defruitsmelange,n.defruitssalade,n.domesticsardines,n.eachoranges,n.earlgreytea,n.earlyjunepeas,n.farciesolives,n.floridaorange,n.floridaoranges,n.formosaoolongtea,n.forofpotteatwo,n.fraisfruits,n.frenchfriedorderpotatoesto,n.frenchfriedpotatoes,n.frenchfriedpotatoesraw,n.frenchfries,n.frenchgreenpeas,n.frenchnewpeasstyle,n.frencholives,n.frenchpeas,n.frenchsardines,n.freshfruit,n.freshfruitinseason,n.freshfruits,n.freshfruitsalad,n.freshfruitsinseason,n.freshfruitssalad,n.freshfruitsstewed,n.freshfruitstewed,n.freshgardenpeas,n.freshglassmilk,n.freshgreenpeas,n.freshlobstersalad,n.freshmilk,n.freshpeas,n.fromageroquefort,n.fruit,n.fruitinseason,n.fruitmelange,n.fruitmixed,n.fruits,n.fruitsalad,n.fruitsinseason,n.fruitssalad,n.fumeessardines,n.gardennewpeas,n.glassicedpertea,n.glassicedtea,n.glassmilk,n.glassmilkof,n.glassmilkper,n.glassmilkperpure,n.gobletmilkof,n.greennewpeas,n.greenofpottea,n.greenolives,n.greenolivesorripe,n.greenpeas,n.greenpottea,n.greentea,n.headlettucesalad,n.heartlettuceofsalad,n.heartslettuceofsalad,n.homogenizedmilk,n.hoticedortea,n.hottea,n.hysonpotteayoung,n.hysonteayoung,n.icedtea,n.icetea,n.importedroquefort,n.importedsardines,n.indiantea,n.indiatea,n.individualmilk,n.inoilsardines,n.inoilsardinessmoked,n.japanofpottea,n.japantea,n.jasminetea,n.javatea,n.junepeas,n.largelobstersalad,n.lemonteawith,n.lettucesalad,n.lettucesalade,n.lindentea,n.lobstermayonnaisesalad,n.lobstersalad,n.lobstersaladsmall,n.mashedpotato,n.mashedpotatoes,n.milk,n.milkofpitcher,n.milkpasteurized,n.milkskim,n.milkteawith,n.minttea,n.mixedolives,n.mixedtea,n.newparisiennepeas,n.newpeas,n.newradishes,n.ofoolongpottea,n.ofpotsingletea,n.ofpottea,n.ofppottea,n.olive,n.olives,n.olivesqueen,n.olivesqueenspanish,n.olivesripe,n.olivesspanish,n.olivesvertes,n.oolongperpottea,n.oolongpottea,n.oolongtea,n.orange,n.orangepekoepottea,n.orangepekoetea,n.oranges,n.orangesliced,n.orangessliced,n.orangestwo,n.orangewhole,n.ororangeslicedwhole,n.pepperminttea,n.perpersonroquefort,n.perpottea,n.pottea,n.radishes,n.radishesrose,n.roquefort,n.sardines,n.sardinessmoked,n.sherrytea,n.teavervain,n.NA,sum
celery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,2,3,17,0,8,4,1,404,90,36,23,0,4,9,131,435,24,1010,0,13,14,5,0,21,11,1,2,1026,1,8,298,3,29,8,21,208,302,26,12,58,5,19,91,36,1815,9,31,6,0,1,19,22,23,4,161,27,58,7,24,9,43,9,70,11,10,12,94,13,10,9,328,12,6,0,3,1,8,270,28,25,2,49,8,113,109,3,5,24,44,79,471,6,1,0,128,6,931,3,26,9,7,22,0,6,12,0,11,37,0,29,25,30,7,89,3,4,49,468,3,0,16,2,31,786,109,114,2,9,236,0,26,3,32,7,9,9,16,3,12,4,5,16,34,11,136,386,12,38,12,1,10,13,52,63,111,22,14,237,13,176,4,833,19,32,15,137,158,0,3,3,11,17,337,3,4,39,1,8,1,14,18,15,4,1,1,18,1,2,915,6,12,13,926,3,9,1038,300,7,13,0,4,8,30,14,9,299,10,11,10,59,32,7,2722,472,3,459,119,17,6,22,56,26,6,200,376,71,138,13,26,4,1,11,6,30,1812,1,722,547,28,0,6,NA,26541
americancheese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,10,42,0,8,13,0,4,4,2,0,2,13,1,226,47,4,52,7,5,10,205,25,0,0,602,1,13,18,0,96,25,63,1,0,12,2,102,0,4,38,0,18,8,0,10,1,148,25,241,558,10,7,0,7,4,0,11,0,0,30,2,524,17,19,7,1,14,5,52,7,4,0,4,2,7,7,84,0,8,0,4,4,11,9,13,71,2,40,1,0,48,43,35,0,4,0,0,0,879,0,5,9,40,16,46,0,4,2,13,239,16,87,22,12,6,4,138,48,14,871,0,12,8,4,7,19,13,5,2,855,0,0,310,3,22,1,56,146,241,24,9,28,3,15,76,10,831,6,17,6,0,24,6,17,12,3,140,15,54,3,0,11,29,5,59,0,0,12,61,5,4,7,78,7,6,0,1,0,3,212,16,25,4,59,6,106,100,0,5,22,57,44,169,19,5,0,129,2,723,10,48,13,3,20,1,0,0,3,1,23,0,16,5,15,5,85,4,0,37,479,0,2,5,0,32,391,29,48,7,3,152,1,15,14,17,4,7,8,14,7,7,0,0,43,0,4,28,340,6,33,3,3,12,7,40,46,99,0,17,160,10,155,0,417,11,48,8,131,170,1,2,3,4,13,272,6,9,24,0,4,4,14,14,12,1,1,2,4,1,26,672,0,0,8,797,0,10,858,301,2,14,0,3,1,18,17,7,176,3,9,7,57,25,2,667,321,12,309,77,1,6,11,75,7,1,191,265,62,112,13,30,7,0,1,5,41,626,2,345,444,12,0,0,NA,21624
chickensalad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,405,2,42,10,66,223,370,24,19,51,6,26,87,30,894,1,20,10,15,20,24,31,13,6,168,22,70,1,18,12,33,0,112,13,14,27,90,9,7,11,78,10,8,0,4,2,5,350,26,28,5,77,18,148,138,4,6,26,63,61,233,21,7,1,153,6,932,6,48,30,6,27,0,5,9,2,25,26,0,22,13,6,6,86,7,0,48,654,13,6,10,0,26,573,65,55,4,6,211,2,19,14,24,5,8,11,63,16,6,5,2,29,23,7,49,451,14,36,11,3,15,15,64,71,165,0,17,180,12,170,5,603,10,42,14,141,202,1,4,8,7,17,438,8,11,54,3,9,6,8,17,11,2,0,1,16,8,27,908,0,1,11,1467,19,7,686,430,5,13,0,0,1,14,27,6,263,6,11,8,96,23,3,601,406,0,386,104,4,6,14,89,18,5,191,239,127,146,6,62,10,0,5,11,58,682,5,387,499,25,22,0,NA,18710
coffee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,25,3,0,31,12,8,12,2,84,13,56,2,1,5,9,0,31,36,18,0,37,1,1,4,8,3,0,3,8,2,14,382,25,0,7,61,12,44,110,5,0,2,101,9,30,49,7,7,76,2,819,4,64,89,7,5,3,1,0,3,26,9,1,15,9,2,8,0,2,3,8,764,13,27,9,0,11,403,37,186,28,20,102,10,14,16,16,14,0,25,63,53,14,0,3,72,0,6,188,287,35,1,1,15,2,5,25,60,85,0,1,115,0,156,7,788,17,184,21,52,121,4,6,43,2,33,599,32,11,72,4,4,24,10,5,0,29,4,8,17,8,40,720,6,25,11,640,20,9,1538,1539,1,18,9,2,10,38,30,5,165,3,1,18,90,9,3,1959,354,12,289,27,12,2,7,217,6,3,88,443,149,108,2,60,5,4,0,8,70,1468,8,363,452,6,2,2,NA,18507
applepie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,15,2,97,0,37,1,0,11,0,83,0,1,13,0,1,7,0,9,7,142,64,330,519,11,9,4,11,0,0,17,0,0,20,1,436,17,0,11,3,9,5,20,2,16,27,8,6,3,7,89,3,2,1,1,6,15,10,19,57,2,12,0,0,57,37,33,3,3,2,2,12,739,1,5,0,2,12,41,0,2,3,21,182,42,81,0,10,0,4,128,177,7,477,0,0,0,3,0,8,11,3,2,728,17,3,225,8,22,0,38,118,224,7,8,41,1,19,44,4,718,0,12,9,4,2,22,13,24,3,141,27,35,5,5,9,22,0,70,1,1,10,57,15,8,10,62,7,10,0,4,1,6,198,16,22,2,54,6,70,57,3,1,26,36,56,186,16,0,0,46,9,727,2,17,37,4,21,0,1,12,6,2,25,0,16,16,8,1,86,8,0,13,416,19,6,1,0,20,343,36,47,5,7,137,1,28,1,31,1,9,8,28,26,5,1,3,7,16,7,28,191,5,36,13,4,14,9,31,46,120,1,4,192,15,129,0,434,13,31,8,110,98,0,2,8,3,15,260,10,7,35,1,8,5,1,16,16,2,0,0,7,13,6,511,0,4,3,626,31,9,699,341,6,6,0,2,3,15,18,0,236,6,14,2,56,0,0,482,259,4,212,82,7,8,10,63,21,1,122,225,91,70,7,60,0,0,4,4,29,515,3,315,280,20,6,1,NA,17584
beansstring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,9,0,5,5,0,6,0,0,8,2,479,19,0,10,8,7,6,65,3,5,10,10,11,4,4,115,0,3,0,1,3,5,7,7,44,1,2,0,0,64,39,14,9,0,1,1,10,776,5,0,0,44,11,38,0,6,9,8,182,18,161,16,0,1,2,33,160,15,485,0,0,0,3,17,37,16,7,4,728,8,0,242,10,18,2,20,189,197,24,2,47,0,20,89,18,746,8,11,4,11,35,19,22,4,6,68,4,40,0,8,7,15,1,76,6,6,22,57,7,6,10,16,3,11,3,2,1,9,200,17,24,3,41,13,133,84,3,2,25,26,64,129,8,0,7,144,10,582,1,60,19,6,12,1,4,0,0,16,25,0,13,10,2,3,0,10,0,49,426,8,2,10,0,14,498,17,27,9,4,26,2,4,0,6,0,0,4,18,9,5,5,4,14,3,10,47,351,1,36,1,2,14,3,41,56,102,1,14,57,6,74,1,624,2,22,6,53,139,0,2,5,2,3,243,6,5,39,4,1,5,13,16,5,3,0,1,8,5,42,493,2,2,6,657,16,4,605,278,3,10,4,2,2,14,19,0,194,12,5,0,55,0,4,573,309,1,219,104,0,4,1,43,11,2,99,220,106,124,0,40,4,3,2,6,25,586,2,382,373,3,17,0,NA,16506
cheeseroquefort,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,12,3,7,13,16,2,6,757,4,8,199,4,16,0,28,123,158,26,5,26,0,15,47,18,776,15,28,3,11,10,19,17,11,1,128,16,36,4,11,5,21,9,44,0,0,29,44,4,5,10,149,4,2,3,4,0,2,195,13,12,2,40,4,74,58,1,1,11,29,38,235,13,5,12,109,9,662,6,32,13,5,20,1,4,4,3,2,10,0,9,9,21,5,80,7,0,29,424,7,2,4,0,11,360,62,59,9,4,181,2,14,0,16,1,5,8,21,2,4,7,1,17,16,3,42,273,10,25,5,3,3,4,29,35,61,0,7,173,11,150,1,421,11,38,8,141,138,0,2,6,9,12,249,3,1,30,3,5,1,5,11,11,1,0,0,7,1,9,722,0,13,4,679,5,8,730,220,0,12,0,2,11,18,16,7,180,12,10,6,50,25,2,767,279,3,321,53,7,2,15,48,12,5,167,186,66,87,6,24,2,0,3,2,21,672,1,68,339,12,18,6,NA,13816
boiledpotatoes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,5,6,2,11,4,0,4,0,10,4,0,1,5,80,0,0,0,9,0,6,5,0,62,1,1,2,0,32,41,55,1,11,13,1,0,651,5,5,10,42,7,34,0,5,11,13,183,17,80,13,0,12,1,50,187,12,444,0,11,0,1,14,28,4,1,2,481,7,5,227,9,15,0,12,83,222,17,16,20,0,13,9,7,874,4,8,1,0,32,27,12,14,2,72,19,16,4,1,3,10,4,26,0,0,5,40,5,6,8,113,2,4,11,2,2,5,172,15,18,2,27,14,17,30,2,6,12,25,44,170,16,1,5,60,12,547,9,43,5,1,9,0,1,2,4,5,9,0,9,5,22,2,3,6,0,0,442,12,3,2,0,17,206,55,74,4,5,52,5,18,1,20,2,0,7,26,35,6,0,2,48,7,2,27,227,22,27,5,3,9,2,21,47,47,0,6,59,7,78,0,410,0,33,6,66,99,1,2,5,1,6,224,7,1,26,12,3,2,19,12,4,4,0,1,8,4,37,469,1,9,11,422,14,2,1066,265,2,1,2,4,11,13,24,1,136,7,6,3,34,0,3,575,198,2,113,51,8,1,0,61,11,0,36,213,86,28,0,31,3,11,1,3,13,468,2,218,186,11,0,4,NA,13511
creamicevanilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,48,45,0,16,1,4,10,2,6,22,1,18,14,22,1,79,7,0,0,535,20,1,8,0,26,404,82,108,11,6,258,6,19,18,23,2,5,15,37,20,4,9,0,24,29,8,23,268,4,26,12,5,19,9,44,53,106,0,15,185,7,185,0,594,12,24,12,145,120,5,2,16,7,26,399,10,6,37,6,8,3,14,13,10,3,2,2,11,13,42,719,1,32,7,855,31,10,748,370,3,1,3,3,19,25,20,0,230,6,7,0,78,0,4,683,244,1,268,88,20,5,16,80,18,9,124,282,144,58,6,70,9,0,8,6,45,618,8,401,279,26,23,12,NA,11209
beansnewstring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,12,2,19,3,4,0,4,0,0,9,0,158,5,0,2,1,12,1,0,2,0,10,1,4,0,4,6,0,2,0,4,2,12,2,3,17,0,0,0,0,1,17,134,1,10,0,0,0,591,0,0,2,2,4,4,0,7,4,12,200,68,23,0,0,8,0,105,61,21,319,0,1,0,1,0,10,3,0,1,365,6,0,80,1,11,0,9,51,76,5,6,13,0,18,10,3,169,5,12,2,0,2,22,14,24,0,131,27,19,8,10,3,16,4,28,0,0,10,30,6,7,0,196,2,4,0,0,0,2,206,14,4,1,26,4,10,25,0,1,2,7,14,244,2,3,0,22,6,432,5,9,3,3,14,0,0,12,5,0,22,0,9,11,13,0,86,0,0,0,213,6,2,0,0,17,225,83,78,0,5,205,0,28,0,32,0,0,1,2,9,3,4,1,2,29,6,15,67,1,1,13,1,5,2,17,22,32,0,10,184,13,104,0,269,3,7,2,109,35,0,0,0,0,6,233,1,3,5,0,2,0,2,0,12,1,0,1,1,7,2,403,0,0,6,351,10,5,277,73,1,1,0,1,0,4,7,0,167,9,11,0,21,0,1,413,112,1,168,12,0,3,2,26,13,0,93,103,30,9,2,15,0,0,9,3,11,416,0,250,161,17,0,0,NA,9985
